Data;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31
01/02/2013;0;0;35,6;0;0;0;0;14,1;4,6;11,1;7,9;0,1;0;3,9;27,6;0;60,6;0;0;58,6;2,8;1,7;2,7;0;0;1,4;26,3;0;;;
01/01/2013;41;3,8;3,6;0;0;0;0;0;34,6;4,7;0;0;0;0;3,5;0;0;10,9;14,4;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2012;0;0,8;26,9;0;0;0;0;0;14,5;0;0;0;0;1,7;2;1,8;40,5;0;0;22,4;5,3;4,3;0;0;0;0;11;13,2;0;15,1;0
01/11/2012;23,5;0;0;0;0;0;0;0;0;25,3;0;3,1;4,1;0;0,6;0;0;0;0;0;0;0;0;0;12,8;0;4,1;0;0;0;
01/10/2012;4,3;4,3;0;0;0;0;0;0;0;0;3,7;0;0;0;0;0;0;0;0;0;10,2;13,6;13;0;0;0;0;14,3;0;0;7,6
01/09/2012;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2,1;8,4;8,3;0;0;0;35,5;0;0;0;0;
01/08/2012;3,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;0;0
01/07/2012;0;0;0;0;0;0;9,6;36,7;0;0;0;45,7;0;0;0;0;4,1;10,9;0;0;0;0;0;0;0;2,1;0;0;0;0;0
01/06/2012;24,6;0;0;21,6;51,6;19,6;6,7;18,5;0;0;33,9;1,5;0;0;0;0;0;0,4;23,6;42,4;2;0;1,6;0;0;0;0;0;0;0;
01/05/2012;0;0;0;1,7;0;0;0;0;0;0;0;8,8;0;0;0;0;2,1;0;0;0;0;0;0;0;17,9;0;0;0;0;0;0
01/04/2012;0;0;0;0;0;4,1;0;0;0,8;0;2,1;0;1,2;4,1;2,6;0;0;0;0;0;7,6;8,3;0;0;0;2,7;67;0;28;10,2;
01/03/2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;9;3;0;4,4;23,6;0;0;0;0
