EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2448035;1;01/05/2015;1;21,6;97,2;27;7;1;1;1;;0;0;0;0;16,5;0;0;0;0;0;10,7;21,2;0;11,7;0,3;0;0;0;0;0;0;0;0;0;0;0;15,2;21,6;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/04/2015;1;23,3;58,8;22;4;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,9;0;0;8;23,3;0;0;8,6;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2448035;1;01/03/2015;1;35,6;116,5;28;9;1;1;1;;0;0;0;0;0;0;12,1;0;2,7;0;2,9;0;2,7;0;0;0;0;0;0;6,3;0;9,7;0;0;0;0;0;0;35,6;34,2;10,3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/02/2015;1;31,9;214,4;27;13;1;1;1;;0;0;31,2;0;5,7;0;0;0;0;0;0;26,4;0;1,7;3,6;20,3;11,5;0,5;12,7;25,9;0;17,2;0;0;25,8;0;0;31,9;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
2448035;1;01/01/2015;1;69,7;204,9;25;14;1;1;1;;0;0;2,4;0;21,3;5,1;18,2;16,7;0;2;0;11,8;9,6;2,5;23,4;0;0;7,5;0;0;4,3;0;0;0;0;69,7;0;0;10,4;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/12/2014;1;57,8;165,4;23;10;1;1;1;;;0;0;0;0;0;0;0;0;8,9;0;0;1,7;13,8;0;0;0;0;0;0;0;0;23,4;57,8;0;19,9;0;0;13,4;3,1;21,4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/11/2014;1;55,4;171,1;2;12;1;1;1;;;0;55,4;0;0;25,5;14,4;0;16,3;0,4;0;0;0;0;13,4;8,2;0;2,8;0;0;0;4,1;0;0;5,2;9,8;15,6;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/10/2014;1;20,9;38,3;20;5;1;1;1;;;9,5;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,8;0;20,9;0;1,2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/09/2014;1;69,3;147,6;19;11;1;1;1;;;22,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69,3;6,7;3;0;0;12,3;3,4;8,7;8;10,2;0,9;2,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/08/2014;1;19;36,7;13;4;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;13,5;0,7;0;0;0;0;0;0;0;3,5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/07/2014;1;14,2;22,3;19;2;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,2;0;0;0;0;0;8,1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/06/2014;1;49,9;81,9;6;5;1;1;1;;;8,3;0;0;0;0;49,9;1,3;0;0;0;0;0;0;0;0;0;0;20,1;0;2,3;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/05/2014;1;34,5;68,5;23;4;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,5;7,2;0;1,6;25,2;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/04/2014;1;21,6;61,1;3;7;1;1;1;;;1,9;0;21,6;0;0;1,2;0;0;0;5,2;0;0;13,1;0,4;0;0;0;17,7;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/03/2014;1;50,2;207,7;1;12;1;1;1;;;50,2;0;0,5;33,4;0;0;26,1;5,3;0;0;10,6;2,5;0;27,4;0,5;0;0;0;0;0;19,1;0;7,4;0;0;0;0;0;0;0;24,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/02/2014;1;39,1;113,2;15;10;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;39,1;2,7;0;0;0;0;8,9;0,1;11,9;12,5;6,8;0;29,6;1,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;
2448035;1;01/01/2014;1;39,8;103,7;13;7;1;1;1;;;11,2;0;0;0;0;0;0;0;12,5;0;0;0;39,8;0;0;5,2;6,1;0;26,6;0;0;0;2,3;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/08/2013;1;15,2;20,1;14;3;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;15,2;0,5;0;0;0;0;0;0;0;0;0;0;0;4,4;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/07/2013;1;40,4;117,7;21;6;1;1;1;;;34,1;0;0;0;0;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;12,7;40,4;25,9;0;2,3;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
